time_iso8601,stars_cumulative
2023-11-08 00:00:00+00:00,1
2023-11-09 00:00:00+00:00,2
2023-11-10 00:00:00+00:00,3
2023-11-13 00:00:00+00:00,4
2023-11-18 00:00:00+00:00,5
2023-12-19 00:00:00+00:00,6
2024-03-22 00:00:00+00:00,7
2024-03-25 00:00:00+00:00,8
2024-04-03 00:00:00+00:00,9
2024-05-23 00:00:00+00:00,10
