time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-21 00:00:00+00:00,1,1,2.0,2.0
2024-03-22 00:00:00+00:00,1,1,1.0,1.0
2024-03-23 00:00:00+00:00,1,1,,
2024-03-24 00:00:00+00:00,1,1,,
2024-03-25 00:00:00+00:00,1,1,16.0,6.0
2024-03-26 00:00:00+00:00,1,1,,
2024-03-27 00:00:00+00:00,1,1,2.0,1.0
2024-03-28 00:00:00+00:00,2,2,4.0,1.0
2024-03-29 00:00:00+00:00,5,4,9.0,2.0
2024-03-30 00:00:00+00:00,1,1,,
2024-03-31 00:00:00+00:00,1,1,,
2024-04-01 00:00:00+00:00,1,1,9.0,2.0
2024-04-02 00:00:00+00:00,2,2,42.0,4.0
2024-04-03 00:00:00+00:00,1,1,2.0,2.0
