time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,2,2,0,0
2026-05-09 00:00:00+00:00,48,7,0,0
2026-05-10 00:00:00+00:00,17,7,0,0
2026-05-11 00:00:00+00:00,9,3,0,0
2026-05-12 00:00:00+00:00,13,4,0,0
2026-05-13 00:00:00+00:00,39,11,0,0
2026-05-14 00:00:00+00:00,16,5,3,1
2026-05-15 00:00:00+00:00,13,4,3,1
2026-05-16 00:00:00+00:00,47,9,0,0
2026-05-17 00:00:00+00:00,9,3,0,0
2026-05-18 00:00:00+00:00,19,6,0,0
2026-05-19 00:00:00+00:00,24,7,5,1
2026-05-20 00:00:00+00:00,11,6,0,0
2026-05-21 00:00:00+00:00,16,5,0,0
