time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,16,6,0,0
2026-06-15 00:00:00+00:00,15,5,0,0
2026-06-16 00:00:00+00:00,38,10,0,0
2026-06-17 00:00:00+00:00,22,9,0,0
2026-06-18 00:00:00+00:00,17,6,0,0
2026-06-19 00:00:00+00:00,39,9,0,0
2026-06-20 00:00:00+00:00,38,9,0,0
2026-06-21 00:00:00+00:00,14,5,0,0
2026-06-22 00:00:00+00:00,55,13,0,0
2026-06-23 00:00:00+00:00,19,8,2,1
2026-06-24 00:00:00+00:00,34,11,0,0
2026-06-25 00:00:00+00:00,20,5,0,0
2026-06-26 00:00:00+00:00,25,8,0,0
2026-06-27 00:00:00+00:00,16,7,0,0
