time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,27,9,0,0
2026-04-12 00:00:00+00:00,24,8,0,0
2026-04-13 00:00:00+00:00,12,7,1,1
2026-04-14 00:00:00+00:00,14,4,1,1
2026-04-15 00:00:00+00:00,16,7,0,0
2026-04-16 00:00:00+00:00,11,6,0,0
2026-04-17 00:00:00+00:00,25,8,0,0
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,20,11,0,0
2026-04-20 00:00:00+00:00,42,20,0,0
2026-04-21 00:00:00+00:00,44,24,0,0
2026-04-22 00:00:00+00:00,72,25,4,1
2026-04-23 00:00:00+00:00,69,21,0,0
2026-04-24 00:00:00+00:00,68,24,0,0
